#result_type=3
Tgfb1	11	18	493	40	17	468	187	102	7012	1.52443e-10	0.20463	1.85859e-08
Il6	10	4	510	31	12	487	117	27	7192	3.62496e-11	0.024355	1.79734e-07
Il1b	15	3	509	39	7	484	163	36	7127	3.25194e-08	0.412872	2.00284e-07
Il2	11	2	514	26	2	501	85	13	7232	4.20755e-07	0.35225	2.32517e-07
Tnf	24	8	490	52	15	466	265	73	6957	5.55626e-10	0.00635908	8.93251e-07
Mapk1	15	3	502	25	7	493	103	19	7161	5.93965e-08	0.0011274	4.63063e-05
Il15	9	0	517	17	3	515	45	6	7282	3.89433e-07	0.00823714	4.77325e-05
Cd28	9	2	514	19	4	508	57	8	7267	3.9555e-07	0.010682	0.000110905
Il4	7	5	513	23	12	490	100	43	7179	7.11069e-07	0.114444	0.000155193
Sp1	5	1	511	15	0	506	52	10	7191	0.00152253	1	0.000209843
Tnfrsf4	2	2	521	4	1	530	8	1	7331	0.000477606	0.332964	0.000294269
Tnfsf11	4	0	521	13	2	520	29	9	7306	3.73433e-05	0.306058	0.000314137
Il10	5	6	515	14	13	504	42	45	7240	3.89334e-07	0.00403336	0.000330102
Stat5a	4	0	516	3	3	525	9	6	7313	0.00160281	0.000345494	0.777121
Ptprc	2	2	522	4	1	530	4	3	7335	0.000269035	0.225767	0.000355042
Il27	3	1	522	10	4	521	15	10	7321	4.22163e-06	0.0353979	0.000378029
Rb1	0	10	513	2	0	530	10	15	7309	3.05347e-05	1	0.000381164
Epo	5	4	517	12	5	515	41	19	7271	0.000240372	0.227403	0.000414862
Stat3	6	2	516	10	0	517	31	11	7267	0.00122135	0.54407	0.00049165
Ctla4	1	5	520	2	6	526	9	11	7319	0.00059599	0.198318	0.000494981
Foxm1	7	0	515	1	2	531	14	2	7316	0.000965079	0.00058393	1
Il13	1	4	519	11	4	515	39	15	7286	0.000263824	1	0.000593473
Il1a	10	1	514	11	4	518	49	4	7289	1.75045e-05	0.00072096	0.0191874
Sp3	1	3	516	6	0	523	18	3	7299	0.00164837	1	0.000725076
Tbx21	2	1	522	4	4	527	2	3	7334	1.1496e-06	0.000806722	0.00176973
Relb	2	1	522	5	0	528	6	1	7331	0.000565655	0.415277	0.000910764
E2f1	15	1	505	1	2	532	41	10	7279	6.82824e-05	0.000936817	1
Mapk14	11	2	505	20	2	504	83	17	7201	0.000297254	0.102547	0.00106469
Trp53	4	18	500	9	12	505	73	68	7132	2.78872e-05	0.103893	0.0011603
Csf3	2	4	520	9	3	521	36	9	7297	0.00146787	1	0.00158008
Ccne1	5	0	519	0	1	534	2	3	7337	0.000989297	0.00160504	1
Egf	15	2	508	26	1	502	129	28	7170	0.00132923	0.53971	0.00170467
Tnfrsf8	3	3	521	3	2	527	7	3	7332	0.000110958	0.0239593	0.00172572
Il7	8	1	516	11	4	517	43	4	7285	2.08863e-05	0.00179476	0.0122981
Lgals1	0	4	522	5	2	527	12	2	7326	1.96313e-05	0.458097	0.00187433
Shc1	1	4	521	1	0	533	5	1	7334	0.000707053	0.951672	0.00192251
Notch1	9	1	513	7	2	521	41	17	7258	0.0333713	0.00215031	0.804139
Pin1	4	0	522	1	2	531	8	3	7330	0.00998397	0.00223229	1
F2	9	1	517	17	2	515	66	4	7272	0.000126665	0.0536876	0.00235474
Il9	1	1	523	6	0	527	9	0	7334	0.000454772	0.984901	0.00244437
Tnfsf10	1	3	521	7	3	524	25	9	7303	0.00205265	0.952407	0.00249724
Tlr3	5	0	521	6	2	527	15	5	7316	0.000669734	0.002566	0.07436
Prkcd	2	5	518	6	1	525	20	11	7303	0.00205852	0.862757	0.0026498
Il25	0	1	524	5	0	530	6	4	7334	0.00732345	1	0.00303963
Rac1	4	1	517	7	0	526	13	4	7318	0.000660491	0.137252	0.00320616
F2r	3	1	523	6	1	525	10	1	7327	0.000282004	0.121893	0.00343529
Kitl	4	0	520	11	3	520	36	6	7298	0.000683358	0.364399	0.00357119
Fgf2	9	1	515	19	2	512	79	24	7221	0.00281358	0.689047	0.00374769
Tnfsf4	2	2	523	3	0	530	5	2	7335	0.00266214	0.381085	0.00411719
Il17a	2	0	523	5	5	526	22	4	7311	0.000686129	0.00459292	0.620838
Nfatc1	5	2	520	1	1	533	17	1	7320	0.00332266	0.00483646	0.910304
Maf	0	1	525	5	0	529	8	1	7333	0.00419039	1	0.005155
Pim1	4	1	521	0	1	532	3	2	7337	0.00141525	0.00528739	0.722812
Cd40	11	0	514	15	4	511	61	9	7265	8.01972e-05	0.0054296	0.0347693
Cdkn1a	1	6	518	1	0	534	6	6	7328	0.00262695	1	0.00614333
Osm	4	2	518	8	2	522	24	6	7304	0.00101401	0.0733868	0.00618789
Hmgb1-ps7	6	0	520	3	0	532	10	0	7332	0.000627457	0.00655354	0.297382
Fn1	8	1	518	7	1	525	21	7	7312	0.000509418	0.00661033	0.0363973
Pomc	3	4	518	7	3	524	27	14	7294	0.00523571	0.385792	0.00666425
Jak2	1	2	522	5	0	526	20	2	7311	0.0340891	1	0.00686823
Nr3c1	3	5	514	6	4	520	19	12	7290	0.000173017	0.00875623	0.0069914
Rhoa	3	4	517	4	4	524	24	5	7303	0.000213206	0.0844838	0.00708408
Ifng	11	8	506	32	15	477	215	70	7027	2.67112e-05	0.44239	0.00708772
Il22	3	2	521	3	1	531	6	2	7335	0.000860834	0.0934604	0.00715913
Igf1r	1	1	523	6	0	528	15	6	7315	0.0438659	1	0.00724538
Cdkn2a	2	3	518	3	0	531	5	5	7333	0.00655324	0.847649	0.00744172
Mapk3	9	1	513	13	2	509	49	13	7250	0.000938447	0.0323358	0.00808014
Adcyap1	2	7	518	4	2	529	26	10	7306	0.00612862	1	0.00895713
Crp	4	2	520	1	3	530	20	6	7316	0.0406398	0.00911767	1
Tlr2	7	0	518	8	1	525	25	7	7305	0.00145808	0.00915242	0.0469849
Egfr	7	2	515	11	2	519	50	15	7258	0.029412	0.596863	0.00923133
Il18	7	1	519	10	1	523	30	7	7308	0.000818732	0.0300791	0.0094399
Plau	0	1	522	4	1	527	12	4	7325	0.0665312	1	0.00994037
Stat6	0	3	522	2	4	524	7	6	7319	0.00177086	0.0102167	0.122631
Pparg	8	7	509	10	10	516	61	44	7207	0.00147825	0.0105097	0.0412531
Itgb1	5	0	521	4	1	529	12	3	7319	0.00637375	0.0106288	0.286971
Lif	5	1	518	10	0	525	31	9	7294	0.00692909	0.518976	0.0108791
Csf1	2	1	522	11	1	520	45	7	7284	0.0404709	1	0.011195
Ngf	6	3	516	13	2	518	71	20	7233	0.0705388	1	0.01184
Mtor	6	0	518	4	4	516	37	12	7268	0.0560293	0.0119792	1
